"x","y"
"-1.199779","0.053774"
"-1.249345","-0.160307"
"-1.281841","-0.178496"
"-1.189174","0.241239"
"-1.288597","-0.111685"
"-1.111828","0.064240"
"-1.181025","-0.167484"
"-1.205265","0.125155"
"-1.441959","-0.082371"
"-1.542220","-0.232117"
"-1.531512","-0.042316"
"-1.428140","0.048828"
"1.228215","-0.033648"
"0.746983","-0.096965"
"1.191270","0.020396"
"0.924576","-0.085996"
"1.023867","-0.145591"
"1.390962","-0.145356"
"1.194146","0.159190"
"1.094952","-0.020106"
"1.219884","0.011481"
"0.979490","0.013705"
"1.444588","-0.278486"
"1.354689","0.021484"
"-0.350000","0.050000"
"0.350000","-0.050000"
"0.000000","1.150000"
"0.000000","-1.100000"
