dataset,method,NMI,ACC,ARI,Purity,true_c,c_out,count_abs_error,runtime_s,peak_rss_mb,n,status,panel
2d-10c,SNI-DPC,1.0,1.0,1.0,1.0,9,9,0,18.050252,223.605,2990,ok,formal21
2d-10c,Gravity,1.0,1.0,1.0,1.0,9,9,0,32.439925,885.273,2990,ok,formal21
2d-10c,Torque Clustering,1.0,1.0,1.0,1.0,9,9,0,28.98605,1282.0,2990,ok,formal21
2d-10c,LDCC,0.9927801875535668,0.9869565217391304,0.9976336538247998,1.0,9,11,2,5.9458,227.516,2990,ok,formal21
2d-10c,Gauging-delta,0.8991009428153524,0.8635451505016722,0.8570989287982682,1.0,9,66,57,822.9702,11115.98,2990,ok,formal21
2d-10c,DPC-MFP,0.7810526395913798,0.488628762541806,0.4844302523612864,1.0,9,34,25,29.323599,1203.52,2990,ok,formal21
DS-577,SNI-DPC,0.9802053495261216,0.9965337954939342,0.9894986807038808,0.9965337954939342,3,3,0,5.108329,149.551,577,ok,formal21
DS-577,Gravity,0.9901341090457622,0.9982668977469672,0.994851035972846,0.9982668977469672,3,3,0,4.202111,181.188,577,ok,formal21
DS-577,Torque Clustering,0.975608625112495,0.9948006932409011,0.984632041225676,0.9948006932409011,3,3,0,28.72736,1121.324,577,ok,formal21
DS-577,LDCC,0.9901341090457622,0.9982668977469672,0.994851035972846,0.9982668977469672,3,3,0,2.8692,151.73,577,ok,formal21
DS-577,Gauging-delta,0.9341772091583328,0.9792027729636048,0.9603221935207524,0.9930675909878682,3,7,4,26.0874,458.594,577,ok,formal21
DS-577,DPC-MFP,0.9531890865262356,0.9896013864818024,0.9683674170351354,0.9896013864818024,3,3,0,31.146639,1126.645,577,ok,formal21
R15,SNI-DPC,0.9942285075104654,0.9966666666666668,0.9927781994136302,0.9966666666666668,15,15,0,5.485152,149.176,600,ok,formal21
R15,Gravity,0.9884648101628384,0.9933333333333332,0.9856026788013608,0.9933333333333332,15,15,0,4.213704,181.727,600,ok,formal21
