method,metric,mean
SNI-DPC,NMI,0.9795818126164929
SNI-DPC,ACC,0.993463595346641
SNI-DPC,ARI,0.9869278301370107
DPC-oracle-c,NMI,0.8328466440746021
DPC-oracle-c,ACC,0.8758002531575064
DPC-oracle-c,ARI,0.7833117505514983
WANN-DPC,NMI,0.9101198149776725
WANN-DPC,ACC,0.9196911942231589
WANN-DPC,ARI,0.8766029435466814
DSNGCAP,NMI,0.8665190476190477
DSNGCAP,ACC,0.9185142857142858
DSNGCAP,ARI,0.8492904761904763
Gravity+DSNGCAP,NMI,0.8806350952380952
Gravity+DSNGCAP,ACC,0.9372101904761905
Gravity+DSNGCAP,ARI,0.8630209047619046
KMeans++ (oracle-c),NMI,0.8123091700313926
KMeans++ (oracle-c),ACC,0.8641394762161143
KMeans++ (oracle-c),ARI,0.7724411984670823
