dataset,n,true_k,MNG-DPC_NMI,MNG-DPC_ACC,MNG-DPC_ARI,MNG-DPC_Purity,MNG-DPC_k_pred,MNG-DPC_time_s,WANNDPC_NMI,WANNDPC_ACC,WANNDPC_ARI,WANNDPC_Purity,WANNDPC_k_pred,WANNDPC_time_s,DSNGCAP_NMI,DSNGCAP_ACC,DSNGCAP_ARI,DSNGCAP_Purity,DSNGCAP_k_pred,DSNGCAP_time_s,Gravity_DSNGCAP_NMI,Gravity_DSNGCAP_ACC,Gravity_DSNGCAP_ARI,Gravity_DSNGCAP_Purity,Gravity_DSNGCAP_k_pred,Gravity_DSNGCAP_time_s,KNN_NMI,KNN_ACC,KNN_ARI,KNN_Purity,KNN_k_pred,KNN_time_s,Gravity_DSNGCAP_r,Gravity_DSNGCAP_clean_r,Gravity_DSNGCAP_status,dimension,MNG-DPC_r,DPC-oracle-c_NMI,DPC-oracle-c_ACC,DPC-oracle-c_ARI,DPC-oracle-c_Purity,DPC-oracle-c_k_pred,DPC-oracle-c_time_s,DPC-oracle-c_fit_time_s,DPC-oracle-c_dc
2d-10c,2990,9,1.0,1.0,1.0,1.0,9,17.553138256072998,0.9988678473369832,0.9996655518394648,0.9992390426245816,0.9996655518394648,9,44.97564196586609,1.0,1.0,1.0,1.0,9,6.748,1.0,1.0,1.0,1.0,9,28.949,0.9953060975953708,0.9983277591973244,0.996665695962806,0.9983277591973244,9,2.8425724506378174,14,10,computed,2,13.0,1.0,1.0,1.0,1.0,9,0.3161216999997123,0.2637943999998242,1.0515371656238832
banana,4811,2,1.0,1.0,1.0,1.0,2,50.89590311050415,0.5761,0.883,0.5865,0.883,2,178.804,1.0,1.0,1.0,1.0,2,13.967,1.0,1.0,1.0,1.0,2,82.222,0.3399,0.8285,0.4316,0.8285,2,0.077,10,10,computed,2,16.0,0.0319504502045166,0.6067345666181667,0.045316026576504,0.6067345666181667,2,0.5256946000008611,0.502811099999235,0.030886890422961
cluto-t4-8k,8000,6,0.9985368659848244,0.9995854063018242,0.9994078689894564,0.999723604201216,8,107.73479199409483,0.7702966702544319,0.7426755113322278,0.6249139404588133,0.7703150912106136,6,324.2447123527527,1.0,1.0,1.0,1.0,7,25.387,1.0,1.0,1.0,1.0,8,184.673,0.7033284329274019,0.693477059148701,0.6035769702364717,0.7864842454394693,6,0.1031363010406494,14,9,computed,2,15.0,0.85728875184248,0.7839966832504146,0.7635923160054164,0.8713377556661138,6,1.4596056000009412,1.4355676000013773,27.73233292807133
cluto-t5-8k,8000,6,1.0000000000000002,1.0,1.0,1.0,7,103.55956983566284,0.7143945783353834,0.6788374470571052,0.5428835946800528,0.6788374470571052,6,324.7714846134186,1.0,1.0,1.0,1.0,6,27.722,1.0,1.0,1.0,1.0,8,207.159,1.0,1.0,1.0,1.0,6,0.0746245384216308,15,9,computed,2,18.0,1.0000000000000002,1.0,1.0,1.0,6,1.778614999999263,1.7546785000013188,20.13635167205756
cure-t2-4k,4200,6,0.9323668493502956,0.94,0.9498727046396326,0.94,5,36.26537489891052,0.7939372660884179,0.658,0.5881692495239909,0.84,6,90.3686544895172,0.9374,0.94,0.9511,0.94,5,8.81,0.937354,0.94,0.951077,0.94,5,41.229,0.7243595860738726,0.54925,0.4823572648217984,0.82625,6,0.07920503616333,10,8,computed,2,10.0,0.8258780600489453,0.772,0.6614274279154714,0.9095,6,0.400244800001019,0.3824833999988186,0.0891745271418274
diamond9,3000,9,0.9921581217466066,0.9973333333333332,0.9940046793965496,0.9973333333333332,9,17.189225673675537,0.8793,0.7917,0.7537,0.7993,9,68.77,0.4476,0.2223,0.1811,0.2223,2,4.759,0.741707,0.555,0.364306,0.555,5,18.214,1.0,1.0,1.0,1.0,9,0.127,7,7,computed,2,7.0,1.0,1.0,1.0,1.0,9,0.2242667999998957,0.2085251000007701,0.3859047155735319
dpb,4000,5,0.9537868611558716,0.9826503140891416,0.9698127953882436,0.9826503140891416,5,40.20142602920532,0.8426,0.9118,0.8737,0.9118,5,122.261,0.9516,0.9821,0.9685,0.9821,5,9.937,0.948222,0.974574,0.971108,0.991624,7,36.073,0.8727,0.9488,0.8778,0.9488,5,0.246,12,8,computed,2,13.0,0.9746801077830264,0.9931199521387974,0.9860960761133978,0.9931199521387974,5,0.3562712999992072,0.3384707999994134,0.0332620350608621
DS-577,577,3,0.9802053495261216,0.9965337954939342,0.9894986807038808,0.9965337954939342,3,1.098505973815918,0.9202197525159068,0.975736568457539,0.9303559871928744,0.975736568457539,3,1.6885473728179932,0.9901,0.9983,0.9949,0.9983,3,0.616,0.990134,0.998267,0.994851,0.998267,3,0.875,0.873052190684947,0.9670710571923744,0.9032178834569248,0.9670710571923744,3,0.0369460582733154,8,8,computed,2,8.0,0.990134109045762,0.9982668977469672,0.994851035972846,0.9982668977469672,3,0.02146029999858,0.0106557999988581,0.2252244354674983
ds2c2sc13,588,13,0.9965244951750638,0.9982993197278912,0.9955555893309216,0.9982993197278912,13,1.4263741970062256,0.8883,0.7262,0.6793,0.8333,13,2.642,0.9085,0.7925,0.767,0.7925,9,0.668,0.985045,0.959184,0.969021,0.959184,12,0.883,0.788,0.5782,0.5406,0.716,13,0.193,4,5,computed,2,5.0,0.8829895524685278,0.7006802721088435,0.6551274813028223,0.8248299319727891,13,0.0228246000006038,0.0107887000012851,0.0225842865727478
flame,240,2,0.832984559439943,0.975,0.9017079127464837,0.975,2,0.3075535297393799,0.8994,0.9875,0.9502,0.9875,2,0.427,0.0,0.6375,0.0,0.6375,1,0.153,0.0,0.6375,0.0,0.6375,1,0.161,0.3988,0.8375,0.4534,0.8375,2,0.05,4,4,computed,2,4.0,0.4130729541054222,0.7875,0.3269351118422229,0.7875,2,0.0486254999996162,0.0027208999999857,0.930053761886914
