metric,comparator,wins,ties,losses,mean_diff,median_diff,W_plus,W_minus,n_nonzero,p_one_sided,holm_p,significant
NMI,DPC-oracle-c,9,5,7,0.14673516854189084,0.0,103.0,33.0,16,0.03516286760560958,0.25589513194931934,False
NMI,WANN-DPC,11,6,4,0.06946199763882051,0.0008347608204499757,103.0,17.0,15,0.007542912122268001,0.07542912122268002,False
NMI,DSNGCAP,6,9,6,0.11306276499744546,0.0,50.0,28.0,12,0.21625628441228628,0.43251256882457256,False
NMI,Gravity+DSNGCAP,8,9,4,0.09894671737839784,0.0,63.0,15.0,12,0.03198689149366492,0.25589513194931934,False
NMI,KMeans++ (oracle-c),15,4,2,0.16727264258510055,0.0810868611558716,147.0,6.0,17,0.00036887390397189336,0.0055331085595784,True
ACC,DPC-oracle-c,9,5,7,0.11766334218913446,0.0,101.0,35.0,16,0.04396780357118121,0.25589513194931934,False
ACC,WANN-DPC,10,7,4,0.07377240112348196,0.0,93.0,12.0,14,0.005494098170097151,0.06356123453213697,False
ACC,DSNGCAP,5,11,5,0.07494930963235515,0.0,38.0,17.0,10,0.14209488743383902,0.42628466230151707,False
ACC,Gravity+DSNGCAP,8,10,3,0.05625340487045037,0.0,58.0,8.0,11,0.013115618631590054,0.11804056768431048,False
ACC,KMeans++ (oracle-c),14,4,3,0.12932411913052658,0.029462738301559765,145.0,8.0,17,0.0005920965178320477,0.008289351249648668,True
ARI,DPC-oracle-c,8,5,8,0.20361607958551226,0.0,100.0,36.0,16,0.048994651353958696,0.25589513194931934,False
ARI,WANN-DPC,11,6,4,0.1103248865903289,0.0001554332516283674,105.0,15.0,15,0.005296769544344748,0.06356123453213697,False
ARI,DSNGCAP,5,9,7,0.13763735394653426,0.0,48.0,30.0,12,0.2400884449530385,0.43251256882457256,False
ARI,Gravity+DSNGCAP,7,9,5,0.1239069253751057,0.0,61.0,17.0,12,0.042189721296980245,0.25589513194931934,False
ARI,KMeans++ (oracle-c),14,4,3,0.2144866316699282,0.08628079724695603,145.0,8.0,17,0.0005920965178320477,0.008289351249648668,True
